Zeit;Schritt;Modus;Event;Geschwindigkeit;Lautstärke
10:03:28.934;-;-;button_down;-;-
10:03:29.417;-;-;button_down;-;-
10:03:29.778;-;-;button_down;-;-
10:03:30.251;-;-;button_down;-;-
10:03:30.975;-;-;button_down;-;-
10:03:31.654;-;-;button_down;-;-
10:03:32.154;-;-;button_down;-;-
10:03:32.599;-;-;button_down;-;-
10:03:33.086;-;-;button_down;-;-
10:03:33.516;-;-;button_down;-;-
10:03:33.849;-;-;button_down;-;-
10:03:34.182;-;-;button_down;-;-
10:03:34.626;-;-;button_down;-;-
10:03:35.125;-;-;button_down;-;-
10:03:35.626;-;-;button_down;-;-
10:03:36.126;-;-;button_down;-;-
10:03:36.682;-;-;button_down;-;-
10:03:37.417;-;-;button_down;-;-
10:03:38.335;-;-;button_down;-;-
10:03:45.764;-;-;button_down;-;-
10:04:11.248;-;-;button_down;-;-
10:04:11.639;-;-;button_down;-;-
10:04:12.028;-;-;button_down;-;-
10:04:12.389;-;-;button_down;-;-
10:04:12.667;-;-;button_down;-;-
10:04:12.959;-;-;button_down;-;-
10:04:13.389;-;-;button_down;-;-
10:04:13.762;-;-;button_down;-;-
10:04:14.763;-;-;button_down;-;-
10:04:15.098;-;-;button_down;-;-
10:04:15.446;-;-;button_down;-;-
10:04:15.765;-;-;button_down;-;-
10:04:16.097;-;-;button_down;-;-
10:04:16.499;-;-;button_down;-;-
10:04:16.919;-;-;button_down;-;-
10:04:17.376;-;-;button_down;-;-
10:04:17.862;-;-;button_down;-;-
10:04:18.335;-;-;button_down;-;-
10:04:18.794;-;-;button_down;-;-
10:04:19.294;-;-;button_down;-;-
10:04:19.808;-;-;button_down;-;-
10:04:20.335;-;-;button_down;-;-
10:04:20.807;-;-;button_down;-;-
10:04:21.265;-;-;button_down;-;-
10:04:21.794;-;-;button_down;-;-
10:04:22.265;-;-;button_down;-;-
10:04:22.724;-;-;button_down;-;-
10:04:23.223;-;-;button_down;-;-
10:04:23.725;-;-;button_down;-;-
10:04:24.225;-;-;button_down;-;-
10:04:24.682;-;-;button_down;-;-
10:04:25.031;-;-;button_down;-;-
10:04:25.459;-;-;button_down;-;-
10:04:25.960;-;-;button_down;-;-
10:04:26.558;-;-;button_down;-;-
10:04:27.266;-;-;button_down;-;-
10:04:28.279;-;-;button_down;-;-
10:04:29.475;-;-;button_down;-;-
10:04:30.877;-;-;button_down;-;-
10:04:31.711;-;-;button_down;-;-
10:04:32.697;-;-;button_down;-;-
10:04:33.517;-;-;button_down;-;-
10:04:34.266;-;-;button_down;-;-
10:04:34.932;-;-;button_down;-;-
10:04:35.766;-;-;button_down;-;-
10:04:36.613;-;-;button_down;-;-
10:04:37.239;-;-;button_down;-;-
10:04:38.030;-;-;button_down;-;-
10:04:38.530;-;-;button_down;-;-
10:04:39.098;-;-;button_down;-;-
10:04:39.640;-;-;button_down;-;-
10:04:40.266;-;-;button_down;-;-
10:04:40.820;-;-;button_down;-;-
10:04:41.358;-;-;button_down;-;-
10:04:41.859;-;-;button_down;-;-
10:04:42.360;-;-;button_down;-;-
10:04:42.818;-;-;button_down;-;-
10:04:43.334;-;-;button_down;-;-
10:04:43.861;-;-;button_down;-;-
10:04:44.402;-;-;button_down;-;-
10:04:44.861;-;-;button_down;-;-
10:04:45.376;-;-;button_down;-;-
10:04:45.806;-;-;button_down;-;-
10:04:46.210;-;-;button_down;-;-
