Zeit;Schritt;Modus;Event;Geschwindigkeit;Lautstärke
11:03:39.273;-;-;button_down;-;-
11:03:40.104;-;Hold;button_up;-;-
11:03:46.453;-;-;button_down;-;-
11:03:49.965;-;Hold;button_up;-;-
11:03:51.897;6;Hold;-;44,10;64,72
11:03:51.911;6;Hold;-;43,55;64,72
11:03:51.923;6;Hold;-;42,98;64,72
11:03:51.938;6;Hold;-;41,83;64,72
11:03:51.952;6;Hold;-;41,30;64,72
11:03:51.965;6;Hold;-;40,75;64,72
11:03:51.979;6;Hold;-;40,19;64,72
11:03:51.993;6;Hold;-;39,63;64,72
11:03:52.007;6;Hold;-;39,09;64,72
11:03:52.021;6;Hold;-;38,52;64,72
11:03:52.035;6;Hold;-;37,96;64,72
11:03:52.048;6;Hold;-;37,40;64,72
11:03:52.062;6;Hold;-;36,83;64,72
11:03:52.077;6;Hold;-;36,28;64,72
11:03:52.090;6;Hold;-;35,73;64,72
11:03:52.104;6;Hold;-;35,16;64,72
11:03:52.132;6;Hold;-;34,60;64,72
11:03:52.145;6;Hold;-;34,06;64,72
11:03:52.160;6;Hold;-;32,93;64,72
11:03:52.174;6;Hold;-;32,38;64,72
11:03:52.187;6;Hold;-;31,81;64,72
11:03:52.202;6;Hold;-;31,27;64,72
11:03:52.215;6;Hold;-;30,71;64,72
11:03:52.229;6;Hold;-;30,13;64,72
11:03:52.244;6;Hold;-;29,60;64,72
11:03:52.257;6;Hold;-;29,03;64,72
11:03:52.271;6;Hold;-;28,46;64,72
11:03:52.285;6;Hold;-;27,92;64,72
11:03:52.299;6;Hold;-;27,35;64,72
11:03:52.313;6;Hold;-;26,78;64,72
11:03:52.326;6;Hold;-;26,23;64,72
11:03:52.340;6;Hold;-;25,68;64,72
11:03:52.355;6;Hold;-;25,11;64,72
11:03:52.368;6;Hold;-;24,58;64,72
11:03:52.383;6;Hold;-;23,98;64,72
11:03:52.396;6;Hold;-;23,44;64,72
11:03:52.409;6;Hold;-;22,84;64,72
11:03:52.423;6;Hold;-;22,32;64,72
11:03:52.438;6;Hold;-;21,78;64,72
11:03:52.451;6;Hold;-;21,24;64,72
11:03:52.464;6;Hold;-;20,65;64,72
11:03:52.479;6;Hold;-;20,12;64,72
11:03:52.493;6;Hold;-;19,57;64,72
11:03:52.506;6;Hold;-;19,00;64,72
11:03:52.521;6;Hold;-;18,45;64,72
11:03:52.534;6;Hold;-;17,88;64,72
11:03:52.548;6;Hold;-;17,32;64,72
11:03:52.562;6;Hold;-;16,76;64,72
11:03:52.576;6;Hold;-;16,20;64,72
11:03:52.590;6;Hold;-;15,64;64,72
11:03:52.604;6;Hold;-;15,09;64,72
11:03:52.618;6;Hold;-;14,53;64,72
11:03:52.632;6;Hold;-;13,96;64,72
11:03:52.645;6;Hold;-;13,41;64,72
11:03:52.659;6;Hold;-;12,86;64,72
11:03:52.674;6;Hold;-;12,29;64,72
11:03:52.687;6;Hold;-;11,74;64,72
11:03:52.701;6;Hold;-;11,17;64,72
11:03:52.715;6;Hold;-;10,61;64,72
11:03:52.729;6;Hold;-;10,06;64,72
11:03:52.743;6;Hold;-;9,50;64,72
11:03:52.757;6;Hold;-;8,93;64,72
11:03:52.771;6;Hold;-;8,38;64,72
11:03:52.784;6;Hold;-;7,81;64,72
11:03:52.799;6;Hold;-;7,25;64,72
11:03:52.813;6;Hold;-;6,71;64,72
11:03:52.826;6;Hold;-;6,13;64,72
11:03:52.841;6;Hold;-;5,59;64,72
11:03:52.854;6;Hold;-;5,05;64,72
11:03:52.868;6;Hold;-;4,46;64,72
11:03:52.882;6;Hold;-;3,91;64,72
11:03:52.896;6;Hold;-;3,36;64,72
11:03:52.909;6;Hold;-;2,79;64,72
11:03:52.924;6;Hold;-;2,24;64,72
11:03:52.937;6;Hold;-;1,68;64,72
11:03:52.952;6;Hold;-;1,12;64,72
11:03:52.965;6;Hold;-;0,58;64,72
11:03:52.979;6;Hold;-;0,00;64,72
11:03:52.993;6;Hold;-;0,00;64,72
11:03:53.007;6;Hold;-;0,00;64,72
11:03:53.021;6;Hold;-;0,00;64,72
11:03:53.035;6;Hold;-;0,00;64,72
11:03:53.048;6;Hold;-;0,00;64,72
11:03:53.062;6;Hold;-;0,00;64,72
11:03:53.077;6;Hold;-;0,00;64,72
11:03:53.090;6;Hold;-;0,00;64,72
11:03:53.104;6;Hold;-;0,00;64,72
11:03:53.118;6;Hold;-;0,00;64,72
11:03:53.132;6;Hold;-;0,00;64,72
11:03:53.145;6;Hold;-;0,00;64,72
11:03:53.160;6;Hold;-;0,00;64,72
11:03:53.174;6;Hold;-;0,00;64,72
11:03:53.187;6;Hold;-;0,00;64,72
11:03:53.202;6;Hold;-;0,00;64,72
11:03:53.216;6;Hold;-;0,00;64,72
11:03:53.229;6;Hold;-;0,00;64,72
11:03:53.244;6;Hold;-;0,00;64,72
11:03:53.256;6;Hold;-;0,00;64,72
11:03:53.271;6;Hold;-;0,00;64,72
11:03:53.285;6;Hold;-;0,00;64,72
11:03:53.298;6;Hold;-;0,00;64,72
11:03:53.313;6;Hold;-;0,00;64,72
11:03:53.326;6;Hold;-;0,00;64,72
11:03:53.340;6;Hold;-;0,00;64,72
11:03:53.355;6;Hold;-;0,00;64,72
11:03:53.368;6;Hold;-;0,00;64,72
11:03:53.382;6;Hold;-;0,00;64,72
11:03:53.396;6;Hold;-;0,00;64,72
11:03:53.410;6;Hold;-;0,00;64,72
11:03:53.424;6;Hold;-;0,00;64,72
11:03:53.438;6;Hold;-;0,00;64,72
11:03:53.451;6;Hold;-;0,00;64,72
11:03:53.465;6;Hold;-;0,00;64,72
11:03:53.480;6;Hold;-;0,00;64,72
11:03:53.493;6;Hold;-;0,00;64,72
11:03:53.507;6;Hold;-;0,00;64,72
11:03:53.521;6;Hold;-;0,00;64,72
11:03:53.535;6;Hold;-;0,00;64,72
11:03:53.548;6;Hold;-;0,00;64,72
11:03:53.563;6;Hold;-;0,00;64,72
11:03:53.577;6;Hold;-;0,00;64,72
11:03:53.591;6;Hold;-;0,00;64,72
11:03:53.604;6;Hold;-;0,00;64,72
11:03:53.618;6;Hold;-;0,00;64,72
11:03:53.633;6;Hold;-;0,00;64,72
11:03:53.646;6;Hold;-;0,00;64,72
11:03:53.659;6;Hold;-;0,00;64,72
11:03:53.674;6;Hold;-;0,00;64,72
11:03:53.688;6;Hold;-;0,00;64,72
11:03:53.701;6;Hold;-;0,00;64,72
11:03:53.715;6;Hold;-;0,00;64,72
11:03:53.729;6;Hold;-;0,00;64,72
11:03:53.743;6;Hold;-;0,00;64,72
11:03:53.757;6;Hold;-;0,00;64,72
11:03:53.771;6;Hold;-;0,00;64,72
11:03:53.784;6;Hold;-;0,00;64,72
11:03:53.799;6;Hold;-;0,00;64,72
11:03:53.813;6;Hold;-;0,00;64,72
11:03:53.826;6;Hold;-;0,00;64,72
11:03:53.841;6;Hold;-;0,00;64,72
11:03:53.854;6;Hold;-;0,00;64,72
11:03:53.867;6;Hold;-;0,00;64,72
11:03:53.882;6;Hold;-;0,00;64,72
11:03:53.895;6;Hold;-;0,00;64,72
11:03:53.909;6;Hold;-;0,00;64,72
11:03:53.924;6;Hold;-;0,00;64,72
11:03:53.938;6;Hold;-;0,00;64,72
11:03:53.952;6;Hold;-;0,00;64,72
11:03:53.965;6;Hold;-;0,00;64,72
11:03:53.979;6;Hold;-;0,00;64,72
11:03:53.993;6;Hold;-;0,00;64,72
11:03:54.007;6;Hold;-;0,00;64,72
11:03:54.021;6;Hold;-;0,00;64,72
11:03:54.035;6;Hold;-;0,00;64,72
11:03:54.049;6;Hold;-;0,00;64,72
11:03:54.063;6;Hold;-;0,00;64,72
11:03:54.077;6;Hold;-;0,00;64,72
11:03:54.090;6;Hold;-;0,00;64,72
11:03:54.104;6;Hold;-;0,00;64,72
11:03:54.118;6;Hold;-;0,00;64,72
11:03:54.133;6;Hold;-;0,00;64,72
11:03:54.146;6;Hold;-;0,00;64,72
11:03:54.160;6;Hold;-;0,00;64,72
11:03:54.174;6;Hold;-;0,00;64,72
11:03:54.187;6;Hold;-;0,00;64,72
11:03:54.202;6;Hold;-;0,00;64,72
11:03:54.215;6;Hold;-;0,00;64,72
11:03:54.229;6;Hold;-;0,00;64,72
11:03:54.244;6;Hold;-;0,00;64,72
11:03:54.257;6;Hold;-;0,00;64,72
11:03:54.271;6;Hold;-;0,00;64,72
11:03:54.284;6;Hold;-;0,00;64,72
11:03:54.299;6;Hold;-;0,00;64,72
11:03:54.313;6;Hold;-;0,00;64,72
11:03:54.326;6;Hold;-;0,00;64,72
11:03:54.340;6;Hold;-;0,00;64,72
11:03:54.355;6;Hold;-;0,00;64,72
11:03:54.368;6;Hold;-;0,00;64,72
11:03:54.382;6;Hold;-;0,00;64,72
11:03:54.396;6;Hold;-;0,00;64,72
11:03:54.409;6;Hold;-;0,00;64,72
11:03:54.423;6;Hold;-;0,00;64,72
11:03:54.438;6;Hold;-;0,00;64,72
11:03:54.452;6;Hold;-;0,00;64,72
11:03:54.465;6;Hold;-;0,00;64,72
11:03:54.479;6;Hold;-;0,00;64,72
11:03:54.493;6;Hold;-;0,00;64,72
11:03:54.506;6;Hold;-;0,00;64,72
11:03:54.521;6;Hold;-;0,00;64,72
11:03:54.534;6;Hold;-;0,00;64,72
11:03:54.548;6;Hold;-;0,00;64,72
11:03:54.563;6;Hold;-;0,00;64,72
11:03:54.576;6;Hold;-;0,00;64,72
11:03:54.590;6;Hold;-;0,00;64,72
11:03:54.604;6;Hold;-;0,00;64,72
11:03:54.618;6;Hold;-;0,00;64,72
11:03:54.632;6;Hold;-;0,00;64,72
11:03:54.645;6;Hold;-;0,00;64,72
11:03:54.660;6;Hold;-;0,00;64,72
11:03:54.674;6;Hold;-;0,00;64,72
11:03:54.687;6;Hold;-;0,00;64,72
11:03:54.701;6;Hold;-;0,00;64,72
11:03:54.715;6;Hold;-;0,00;64,72
11:03:54.729;6;Hold;-;0,00;64,72
11:03:54.743;6;Hold;-;0,00;64,72
11:03:54.757;6;Hold;-;0,00;64,72
11:03:54.771;6;Hold;-;0,00;64,72
11:03:54.784;6;Hold;-;0,00;64,72
11:03:54.799;6;Hold;-;0,00;64,72
11:03:54.812;6;Hold;-;0,00;64,72
11:03:54.826;6;Hold;-;0,00;64,72
11:03:54.841;6;Hold;-;0,00;64,72
11:03:54.854;6;Hold;-;0,00;64,72
11:03:54.867;6;Hold;-;0,00;64,72
11:03:54.882;6;Hold;-;0,00;64,72
11:03:54.895;6;Hold;-;0,00;64,72
11:03:54.909;6;Hold;-;0,00;64,72
11:03:54.924;6;Hold;-;0,00;64,72
11:03:54.937;6;Hold;-;0,00;64,72
11:03:54.952;6;Hold;-;0,00;64,72
11:03:54.965;6;Hold;-;0,00;64,72
11:03:54.979;6;Hold;-;0,00;64,72
11:03:54.993;6;Hold;-;0,00;64,72
11:03:55.007;6;Hold;-;0,00;64,72
11:03:55.021;6;Hold;-;0,00;64,72
11:03:55.035;6;Hold;-;0,00;64,72
11:03:55.048;6;Hold;-;0,00;64,72
11:03:55.062;6;Hold;-;0,00;64,72
11:03:55.077;6;Hold;-;0,00;64,72
11:03:55.091;6;Hold;-;0,00;64,72
11:03:55.103;6;Hold;-;0,00;64,72
11:03:55.118;6;Hold;-;0,00;64,72
11:03:55.132;6;Hold;-;0,00;64,72
11:03:55.145;6;Hold;-;0,00;64,72
11:03:55.161;6;Hold;-;0,00;64,72
11:03:55.174;6;Hold;-;0,00;64,72
11:03:55.187;6;Hold;-;0,00;64,72
11:03:55.202;6;Hold;-;0,00;64,72
11:03:55.215;6;Hold;-;0,00;64,72
11:03:55.229;6;Hold;-;0,00;64,72
11:03:55.244;6;Hold;-;0,00;64,72
11:03:55.257;6;Hold;-;0,00;64,72
11:03:55.271;6;Hold;-;0,00;64,72
11:03:55.284;6;Hold;-;0,00;64,72
11:03:55.298;6;Hold;-;0,00;64,72
11:03:55.313;6;Hold;-;0,00;64,72
11:03:55.326;6;Hold;-;0,00;64,72
11:03:55.340;6;Hold;-;0,00;64,72
11:03:55.355;6;Hold;-;0,00;64,72
11:03:55.368;6;Hold;-;0,00;64,72
11:03:55.382;6;Hold;-;0,00;64,72
11:03:55.396;6;Hold;-;0,00;64,72
11:03:55.409;6;Hold;-;0,00;64,72
11:03:55.423;6;Hold;-;0,00;64,72
11:03:55.438;6;Hold;-;0,00;64,72
11:03:55.452;6;Hold;-;0,00;64,72
11:03:55.465;6;Hold;-;0,00;64,72
11:03:55.480;6;Hold;-;0,00;64,72
11:03:55.493;6;Hold;-;0,00;64,72
11:03:55.507;6;Hold;-;0,00;64,72
11:03:55.521;6;Hold;-;0,00;64,72
11:03:55.535;6;Hold;-;0,00;64,72
11:03:55.548;6;Hold;-;0,00;64,72
11:03:55.563;6;Hold;-;0,00;64,72
11:03:55.576;6;Hold;-;0,00;64,72
11:03:55.591;6;Hold;-;0,00;64,72
11:03:55.604;6;Hold;-;0,00;64,72
11:03:55.618;6;Hold;-;0,00;64,72
11:03:55.632;6;Hold;-;0,00;64,72
11:03:55.646;6;Hold;-;0,00;64,72
11:03:55.660;6;Hold;-;0,00;64,72
11:03:55.674;6;Hold;-;0,00;64,72
11:03:55.688;6;Hold;-;0,00;64,72
11:03:55.701;6;Hold;-;0,00;64,72
11:03:55.716;6;Hold;-;0,00;64,72
11:03:55.729;6;Hold;-;0,00;64,72
11:03:55.743;6;Hold;-;0,00;64,72
11:03:55.757;6;Hold;-;0,00;64,72
11:03:55.771;6;Hold;-;0,00;64,72
11:03:55.784;6;Hold;-;0,00;64,72
11:03:55.799;6;Hold;-;0,00;64,72
11:03:55.813;6;Hold;-;0,00;64,72
11:03:55.826;6;Hold;-;0,00;64,72
11:03:55.841;6;Hold;-;0,00;64,72
11:03:55.854;6;Hold;-;0,00;64,72
11:03:55.868;6;Hold;-;0,00;64,72
11:03:55.883;6;Hold;-;0,00;64,72
11:03:55.896;6;Hold;-;0,00;64,72
11:03:55.910;6;Hold;-;0,00;64,72
11:03:55.924;6;Hold;-;0,00;64,72
11:03:55.938;6;Hold;-;0,00;64,72
11:03:55.952;6;Hold;-;0,00;64,72
11:03:55.965;6;Hold;-;0,00;64,72
11:03:55.979;6;Hold;-;0,00;64,72
11:03:55.993;6;Hold;-;0,00;64,72
11:03:56.007;6;Hold;-;0,00;64,72
11:03:56.021;6;Hold;-;0,00;64,72
11:03:56.035;6;Hold;-;0,00;64,72
11:03:56.049;6;Hold;-;0,00;64,72
11:03:56.063;6;Hold;-;0,00;64,72
11:03:56.077;6;Hold;-;0,00;64,72
11:03:56.090;6;Hold;-;0,00;64,72
11:03:56.104;6;Hold;-;0,00;64,72
11:03:56.118;6;Hold;-;0,00;64,72
11:03:56.133;6;Hold;-;0,00;64,72
11:03:56.146;6;Hold;-;0,00;64,72
11:03:56.160;6;Hold;-;0,00;64,72
11:03:56.174;6;Hold;-;0,00;64,72
11:03:56.187;6;Hold;-;0,00;64,72
11:03:56.202;6;Hold;-;0,00;64,72
11:03:56.215;6;Hold;-;0,00;64,72
11:03:56.229;6;Hold;-;0,00;64,72
11:03:56.244;6;Hold;-;0,00;64,72
11:03:56.257;6;Hold;-;0,00;64,72
11:03:56.271;6;Hold;-;0,00;64,72
11:03:56.285;6;Hold;-;0,00;64,72
11:03:56.299;6;Hold;-;0,00;64,72
11:03:56.313;6;Hold;-;0,00;64,72
11:03:56.326;6;Hold;-;0,00;64,72
11:03:56.340;6;Hold;-;0,00;64,72
11:03:56.355;6;Hold;-;0,00;64,72
11:03:56.368;6;Hold;-;0,00;64,72
11:03:56.382;6;Hold;-;0,00;64,72
11:03:56.396;6;Hold;-;0,00;64,72
