Zeit;Schritt;Modus;Event;Geschwindigkeit;Lautstärke
12:58:50.430;-;-;button_down;-;-
12:58:52.092;-;Hold;button_up;-;-
12:58:52.121;-;-;button_down;-;-
12:58:52.135;-;Hold;button_up;-;-
12:58:52.170;-;-;button_down;-;-
12:58:52.199;-;Hold;button_up;-;-
12:58:53.451;-;-;button_down;-;-
12:58:53.636;-;Hold;button_up;-;-
12:58:54.174;-;-;button_down;-;-
12:58:54.329;-;Hold;button_up;-;-
12:58:54.689;-;-;button_down;-;-
12:58:55.591;-;Hold;button_up;-;-
12:59:02.842;-;-;button_down;-;-
12:59:05.415;-;Hold;button_up;-;-
12:59:05.607;-;-;button_down;-;-
12:59:05.635;-;Hold;button_up;-;-
12:59:05.718;-;-;button_down;-;-
12:59:05.731;-;Hold;button_up;-;-
12:59:05.762;-;-;button_down;-;-
12:59:05.800;-;Hold;button_up;-;-
12:59:05.815;-;-;button_down;-;-
12:59:05.827;-;Hold;button_up;-;-
12:59:05.858;-;-;button_down;-;-
12:59:05.870;-;Hold;button_up;-;-
12:59:05.915;-;-;button_down;-;-
12:59:05.951;-;Hold;button_up;-;-
12:59:12.606;-;-;button_down;-;-
12:59:15.026;-;Hold;button_up;-;-
12:59:34.622;-;-;button_down;-;-
12:59:43.787;-;Hold;button_up;-;-
12:59:43.818;-;-;button_down;-;-
12:59:43.884;-;Hold;button_up;-;-
12:59:44.467;-;-;button_down;-;-
12:59:44.481;-;Hold;button_up;-;-
12:59:44.508;-;-;button_down;-;-
12:59:44.567;-;Hold;button_up;-;-
12:59:47.650;-;-;button_down;-;-
12:59:49.218;-;Hold;button_up;-;-
12:59:51.402;-;-;button_down;-;-
12:59:54.560;-;Hold;button_up;-;-
12:59:56.647;-;-;button_down;-;-
12:59:58.707;-;Hold;button_up;-;-
12:59:58.772;-;-;button_down;-;-
12:59:58.787;-;Hold;button_up;-;-
13:00:26.166;-;-;button_down;-;-
13:00:30.368;-;Hold;button_up;-;-
13:00:32.691;-;-;button_down;-;-
13:00:37.357;-;Hold;button_up;-;-
13:00:42.357;6;Hold;-;0,00;73,87
13:00:42.368;6;Hold;-;0,00;73,87
13:00:42.383;6;Hold;-;0,00;73,87
13:00:42.396;6;Hold;-;0,00;73,87
13:00:42.410;6;Hold;-;0,00;73,87
13:00:42.427;6;Hold;-;0,00;73,87
13:00:42.440;6;Hold;-;0,00;73,87
13:00:42.455;6;Hold;-;0,00;73,87
13:00:42.467;6;Hold;-;0,00;73,87
13:00:42.483;6;Hold;-;0,00;73,87
13:00:42.497;6;Hold;-;0,00;73,87
13:00:42.510;6;Hold;-;0,00;73,87
13:00:42.537;6;Hold;-;0,00;73,87
13:00:42.548;6;Hold;-;0,00;73,87
13:00:42.564;6;Hold;-;0,00;73,87
13:00:42.578;6;Hold;-;0,00;73,87
13:00:42.591;6;Hold;-;0,00;73,87
13:00:42.606;6;Hold;-;0,00;73,87
13:00:42.622;6;Hold;-;0,00;73,87
13:00:42.635;6;Hold;-;0,00;73,87
13:00:42.647;6;Hold;-;0,00;73,87
13:00:42.663;6;Hold;-;0,00;73,87
13:00:42.678;6;Hold;-;0,00;73,87
13:00:42.690;6;Hold;-;0,00;73,87
13:00:42.706;6;Hold;-;0,00;73,87
13:00:42.729;6;Hold;-;0,00;73,87
13:00:42.744;6;Hold;-;0,00;73,87
13:00:42.758;6;Hold;-;0,00;73,87
13:00:42.771;6;Hold;-;0,00;73,87
13:00:42.787;6;Hold;-;0,00;73,87
13:00:42.801;6;Hold;-;0,00;73,87
13:00:42.815;6;Hold;-;0,00;73,87
13:00:42.828;6;Hold;-;0,00;73,87
13:00:42.843;6;Hold;-;0,00;73,87
13:00:42.858;6;Hold;-;0,00;73,87
13:00:42.871;6;Hold;-;0,00;73,87
13:00:42.887;6;Hold;-;0,00;73,87
13:00:42.901;6;Hold;-;0,00;73,87
13:00:42.915;6;Hold;-;0,00;73,87
13:00:42.927;6;Hold;-;0,00;73,87
13:00:42.952;6;Hold;-;0,00;73,87
13:00:42.965;6;Hold;-;0,00;73,87
13:00:42.980;6;Hold;-;0,00;73,87
13:00:42.995;6;Hold;-;0,00;73,87
13:00:43.007;6;Hold;-;0,00;73,87
13:00:43.023;6;Hold;-;0,00;73,87
13:00:43.037;6;Hold;-;0,00;73,87
13:00:43.049;6;Hold;-;0,00;73,87
13:00:43.066;6;Hold;-;0,00;73,87
13:00:43.079;6;Hold;-;0,00;73,87
13:00:43.093;6;Hold;-;0,00;73,87
13:00:43.106;6;Hold;-;0,00;73,87
13:00:43.121;6;Hold;-;0,00;73,87
13:00:43.135;6;Hold;-;0,00;73,87
13:00:43.148;6;Hold;-;0,00;73,87
13:00:43.163;6;Hold;-;0,00;73,87
13:00:43.178;6;Hold;-;0,00;73,87
13:00:43.190;6;Hold;-;0,00;73,87
13:00:43.206;6;Hold;-;0,00;73,87
13:00:43.220;6;Hold;-;0,00;73,87
13:00:43.234;6;Hold;-;0,00;73,87
13:00:43.246;6;Hold;-;0,00;73,87
13:00:43.263;6;Hold;-;0,00;73,87
13:00:43.276;6;Hold;-;0,00;73,87
13:00:43.299;6;Hold;-;0,00;73,87
13:00:43.314;6;Hold;-;0,00;73,87
13:00:43.327;6;Hold;-;0,00;73,87
13:00:43.343;6;Hold;-;0,00;73,87
13:00:43.357;6;Hold;-;0,00;73,87
13:00:43.370;6;Hold;-;0,00;73,87
13:00:43.387;6;Hold;-;0,00;73,87
13:00:43.401;6;Hold;-;0,00;73,87
13:00:43.416;6;Hold;-;0,00;73,87
13:00:43.437;6;Hold;-;0,00;73,87
13:00:43.451;6;Hold;-;0,00;73,87
13:00:43.467;6;Hold;-;0,00;73,87
13:00:43.480;6;Hold;-;0,00;73,87
13:00:43.495;6;Hold;-;0,00;73,87
13:00:43.507;6;Hold;-;0,00;73,87
13:00:43.523;6;Hold;-;0,00;73,87
13:00:43.537;6;Hold;-;0,00;73,87
13:00:43.550;6;Hold;-;0,00;73,87
13:00:43.565;6;Hold;-;0,00;73,87
13:00:43.580;6;Hold;-;0,00;73,87
13:00:43.595;6;Hold;-;0,00;73,87
13:00:43.606;6;Hold;-;0,00;73,87
13:00:43.623;6;Hold;-;0,00;73,87
13:00:43.636;6;Hold;-;0,00;73,87
13:00:43.648;6;Hold;-;0,00;73,87
13:00:43.665;6;Hold;-;0,00;73,87
13:00:43.678;6;Hold;-;0,00;73,87
13:00:43.690;6;Hold;-;0,00;73,87
13:00:43.707;6;Hold;-;0,00;73,87
13:00:43.720;6;Hold;-;0,00;73,87
13:00:43.735;6;Hold;-;0,00;73,87
13:00:43.757;6;Hold;-;0,00;73,87
13:00:43.771;6;Hold;-;0,00;73,87
13:00:43.788;6;Hold;-;0,00;73,87
13:00:43.801;6;Hold;-;0,00;73,87
13:00:43.817;6;Hold;-;0,00;73,87
13:00:43.829;6;Hold;-;0,00;73,87
13:00:43.845;6;Hold;-;0,00;73,87
13:00:43.869;6;Hold;-;0,00;73,87
13:00:43.883;6;Hold;-;0,00;73,87
13:00:43.898;6;Hold;-;0,00;73,87
13:00:43.910;6;Hold;-;0,00;73,87
13:00:43.926;6;Hold;-;0,00;73,87
13:00:43.940;6;Hold;-;0,00;73,87
13:00:43.954;6;Hold;-;0,00;73,87
13:00:43.967;6;Hold;-;0,00;73,87
13:00:43.983;6;Hold;-;0,00;73,87
13:00:43.996;6;Hold;-;0,00;73,87
13:00:44.009;6;Hold;-;0,00;73,87
13:00:44.025;6;Hold;-;0,00;73,87
13:00:44.039;6;Hold;-;0,00;73,87
13:00:44.051;6;Hold;-;0,00;73,87
13:00:44.068;6;Hold;-;0,00;73,87
13:00:44.081;6;Hold;-;0,00;73,87
13:00:44.095;6;Hold;-;0,00;73,87
13:00:44.108;6;Hold;-;0,00;73,87
13:00:44.124;6;Hold;-;0,00;73,87
13:00:44.138;6;Hold;-;0,00;73,87
13:00:44.160;6;Hold;-;0,00;73,87
13:00:44.174;6;Hold;-;0,00;73,87
13:00:44.187;6;Hold;-;0,00;73,87
13:00:44.203;6;Hold;-;0,00;73,87
13:00:44.217;6;Hold;-;0,00;73,87
13:00:44.230;6;Hold;-;0,00;73,87
13:00:44.246;6;Hold;-;0,00;73,87
13:00:44.260;6;Hold;-;0,00;73,87
13:00:44.274;6;Hold;-;0,00;73,87
13:00:44.286;6;Hold;-;0,00;73,87
13:00:44.303;6;Hold;-;0,00;73,87
13:00:44.316;6;Hold;-;0,00;73,87
13:00:44.329;6;Hold;-;0,00;73,87
13:00:44.345;6;Hold;-;0,00;73,87
13:00:44.359;6;Hold;-;0,00;73,87
13:00:44.371;6;Hold;-;0,00;73,87
13:00:44.387;6;Hold;-;0,00;73,87
13:00:44.401;6;Hold;-;0,00;73,87
13:00:44.415;6;Hold;-;0,00;73,87
13:00:44.428;6;Hold;-;0,00;73,87
13:00:44.453;6;Hold;-;0,00;73,87
13:00:44.468;6;Hold;-;0,00;73,87
13:00:44.482;6;Hold;-;0,00;73,87
13:00:44.496;6;Hold;-;0,00;73,87
13:00:44.509;6;Hold;-;0,00;73,87
13:00:44.525;6;Hold;-;0,00;73,87
13:00:44.539;6;Hold;-;0,00;73,87
13:00:44.554;6;Hold;-;0,00;73,87
13:00:44.566;6;Hold;-;0,00;73,87
13:00:44.582;6;Hold;-;0,00;73,87
13:00:44.596;6;Hold;-;0,00;73,87
13:00:44.619;6;Hold;-;0,00;73,87
13:00:44.632;6;Hold;-;0,00;73,87
13:00:44.647;6;Hold;-;0,00;73,87
13:00:44.662;6;Hold;-;0,00;73,87
13:00:44.676;6;Hold;-;0,00;73,87
13:00:44.688;6;Hold;-;0,00;73,87
13:00:44.704;6;Hold;-;0,00;73,87
13:00:44.718;6;Hold;-;0,00;73,87
13:00:44.731;6;Hold;-;0,00;73,87
13:00:44.748;6;Hold;-;0,00;73,87
13:00:44.760;6;Hold;-;0,00;73,87
13:00:44.775;6;Hold;-;0,00;73,87
13:00:44.787;6;Hold;-;0,00;73,87
13:00:44.803;6;Hold;-;0,00;73,87
13:00:44.818;6;Hold;-;0,00;73,87
13:00:44.830;6;Hold;-;0,00;73,87
13:00:44.846;6;Hold;-;0,00;73,87
13:00:44.869;6;Hold;-;0,00;73,87
13:00:44.883;6;Hold;-;0,00;73,87
13:00:44.898;6;Hold;-;0,00;73,87
13:00:44.911;6;Hold;-;0,00;73,87
13:00:44.926;6;Hold;-;0,00;73,87
13:00:44.941;6;Hold;-;0,00;73,87
13:00:44.955;6;Hold;-;0,00;73,87
13:00:44.967;6;Hold;-;0,00;73,87
13:00:44.983;6;Hold;-;0,00;73,87
13:00:44.998;6;Hold;-;0,00;73,87
13:00:45.010;6;Hold;-;0,00;73,87
13:00:45.025;6;Hold;-;0,00;73,87
13:00:45.041;6;Hold;-;0,00;73,87
13:00:45.054;6;Hold;-;0,00;73,87
13:00:45.067;6;Hold;-;0,00;73,87
13:00:45.091;6;Hold;-;0,00;73,87
13:00:45.105;6;Hold;-;0,00;73,87
13:00:45.120;6;Hold;-;0,00;73,87
13:00:45.134;6;Hold;-;0,00;73,87
13:00:45.147;6;Hold;-;0,00;73,87
13:00:45.162;6;Hold;-;0,00;73,87
13:00:45.177;6;Hold;-;0,00;73,87
13:00:45.189;6;Hold;-;0,00;73,87
13:00:45.204;6;Hold;-;0,00;73,87
13:00:45.219;6;Hold;-;0,00;73,87
13:00:45.234;6;Hold;-;0,00;73,87
13:00:45.246;6;Hold;-;0,00;73,87
13:00:45.262;6;Hold;-;0,00;73,87
13:00:45.276;6;Hold;-;0,00;73,87
13:00:45.288;6;Hold;-;0,00;73,87
13:00:45.304;6;Hold;-;0,00;73,87
13:00:45.327;6;Hold;-;0,00;73,87
13:00:45.342;6;Hold;-;0,00;73,87
13:00:45.355;6;Hold;-;0,00;73,87
13:00:45.368;6;Hold;-;0,00;73,87
13:00:45.385;6;Hold;-;0,00;73,87
13:00:45.398;6;Hold;-;0,00;73,87
13:00:45.411;6;Hold;-;0,00;73,87
13:00:45.428;6;Hold;-;0,00;73,87
13:00:45.441;6;Hold;-;0,00;73,87
13:00:45.455;6;Hold;-;0,00;73,87
13:00:45.468;6;Hold;-;0,00;73,87
13:00:45.484;6;Hold;-;0,00;73,87
13:00:45.498;6;Hold;-;0,00;73,87
13:00:45.511;6;Hold;-;0,00;73,87
13:00:45.537;6;Hold;-;0,00;73,87
13:00:45.548;6;Hold;-;0,00;73,87
13:00:45.564;6;Hold;-;0,00;73,87
13:00:45.579;6;Hold;-;0,00;73,87
13:00:45.591;6;Hold;-;0,00;73,87
13:00:45.607;6;Hold;-;0,00;73,87
13:00:45.622;6;Hold;-;0,00;73,87
13:00:45.635;6;Hold;-;0,00;73,87
13:00:45.648;6;Hold;-;0,00;73,87
13:00:45.665;6;Hold;-;0,00;73,87
13:00:45.678;6;Hold;-;0,00;73,87
13:00:45.691;6;Hold;-;0,00;73,87
13:00:45.707;6;Hold;-;0,00;73,87
13:00:45.721;6;Hold;-;0,00;73,87
13:00:45.745;6;Hold;-;0,00;73,87
13:00:45.759;6;Hold;-;0,00;73,87
13:00:45.771;6;Hold;-;0,00;73,87
13:00:45.788;6;Hold;-;0,00;73,87
13:00:45.801;6;Hold;-;0,00;73,87
13:00:45.815;6;Hold;-;0,00;73,87
13:00:45.828;6;Hold;-;0,00;73,87
13:00:45.844;6;Hold;-;0,00;73,87
13:00:45.859;6;Hold;-;0,00;73,87
13:00:45.871;6;Hold;-;0,00;73,87
13:00:45.898;6;Hold;-;0,00;73,87
13:00:45.911;6;Hold;-;0,00;73,87
13:00:45.926;6;Hold;-;0,00;73,87
13:00:45.942;6;Hold;-;0,00;73,87
13:00:45.957;6;Hold;-;0,00;73,87
13:00:45.981;6;Hold;-;0,00;73,87
13:00:45.995;6;Hold;-;0,00;73,87
13:00:46.007;6;Hold;-;0,00;73,87
13:00:46.024;6;Hold;-;0,00;73,87
13:00:46.038;6;Hold;-;0,00;73,87
13:00:46.050;6;Hold;-;0,00;73,87
13:00:46.067;6;Hold;-;0,00;73,87
13:00:46.081;6;Hold;-;0,00;73,87
13:00:46.095;6;Hold;-;0,00;73,87
13:00:46.108;6;Hold;-;0,00;73,87
13:00:46.124;6;Hold;-;0,00;73,87
13:00:46.147;6;Hold;-;0,00;73,87
13:00:46.161;6;Hold;-;0,00;73,87
13:00:46.175;6;Hold;-;0,00;73,87
13:00:46.188;6;Hold;-;0,00;73,87
13:00:46.203;6;Hold;-;0,00;73,87
13:00:46.218;6;Hold;-;0,00;73,87
13:00:46.231;6;Hold;-;0,00;73,87
13:00:46.246;6;Hold;-;0,00;73,87
13:00:46.261;6;Hold;-;0,00;73,87
13:00:46.275;6;Hold;-;0,00;73,87
13:00:46.287;6;Hold;-;0,00;73,87
13:00:46.303;6;Hold;-;0,00;73,87
13:00:46.317;6;Hold;-;0,00;73,87
13:00:46.329;6;Hold;-;0,00;73,87
13:00:46.346;6;Hold;-;0,00;73,87
13:00:46.360;6;Hold;-;0,00;73,87
13:00:46.373;6;Hold;-;0,00;73,87
13:00:46.386;6;Hold;-;0,00;73,87
13:00:46.411;6;Hold;-;0,00;73,87
13:00:46.425;6;Hold;-;0,00;73,87
13:00:46.439;6;Hold;-;0,00;73,87
13:00:46.451;6;Hold;-;0,00;73,87
13:00:46.468;6;Hold;-;0,00;73,87
13:00:46.482;6;Hold;-;0,00;73,87
13:00:46.496;6;Hold;-;0,00;73,87
13:00:46.509;6;Hold;-;0,00;73,87
13:00:46.524;6;Hold;-;0,00;73,87
13:00:46.538;6;Hold;-;0,00;73,87
13:00:46.551;6;Hold;-;0,00;73,87
13:00:46.567;6;Hold;-;0,00;73,87
13:00:46.581;6;Hold;-;0,00;73,87
13:00:46.595;6;Hold;-;0,00;73,87
13:00:46.607;6;Hold;-;0,00;73,87
13:00:46.623;6;Hold;-;0,00;73,87
13:00:46.637;6;Hold;-;0,00;73,87
13:00:46.650;6;Hold;-;0,00;73,87
13:00:46.665;6;Hold;-;0,00;73,87
13:00:46.689;6;Hold;-;0,00;73,87
13:00:46.703;6;Hold;-;0,00;73,87
13:00:46.717;6;Hold;-;0,00;73,87
13:00:46.729;6;Hold;-;0,00;73,87
13:00:46.746;6;Hold;-;0,00;73,87
13:00:46.760;6;Hold;-;0,00;73,87
13:00:46.775;6;Hold;-;0,00;73,87
13:00:46.787;6;Hold;-;0,00;73,87
13:00:46.803;6;Hold;-;0,00;73,87
13:00:46.817;6;Hold;-;0,00;73,87
13:00:46.829;6;Hold;-;0,00;73,87
13:00:46.845;6;Hold;-;0,00;73,87
13:00:46.859;6;Hold;-;0,00;73,87
13:00:46.874;6;Hold;-;0,00;73,87
13:00:46.886;6;Hold;-;0,00;73,87
13:00:46.902;6;Hold;-;0,00;73,87
13:00:46.916;6;Hold;-;0,00;73,87
13:00:46.939;6;Hold;-;0,00;73,87
13:00:46.954;6;Hold;-;0,00;73,87
13:00:46.966;6;Hold;-;0,00;73,87
13:00:46.983;6;Hold;-;0,00;73,87
13:00:46.997;6;Hold;-;0,00;73,87
13:00:47.009;6;Hold;-;0,00;73,87
13:00:47.026;6;Hold;-;0,00;73,87
13:00:47.039;6;Hold;-;0,00;73,87
13:00:47.053;6;Hold;-;0,00;73,87
13:00:47.067;6;Hold;-;0,00;73,87
13:00:47.082;6;Hold;-;0,00;73,87
13:00:47.106;6;Hold;-;0,00;73,87
13:00:47.119;6;Hold;-;0,00;73,87
13:00:47.134;6;Hold;-;0,00;73,87
13:00:47.147;6;Hold;-;0,00;73,87
13:00:47.162;6;Hold;-;0,00;73,87
13:00:47.176;6;Hold;-;0,00;73,87
13:00:47.189;6;Hold;-;0,00;73,87
13:00:47.204;6;Hold;-;0,00;73,87
13:00:47.219;6;Hold;-;0,00;73,87
13:00:47.233;6;Hold;-;0,00;73,87
13:00:47.245;6;Hold;-;0,00;73,87
13:00:47.261;6;Hold;-;0,00;73,87
13:00:47.276;6;Hold;-;0,00;73,87
13:00:47.288;6;Hold;-;0,00;73,87
13:00:47.304;6;Hold;-;0,00;73,87
13:00:47.318;6;Hold;-;0,00;73,87
13:00:47.330;6;Hold;-;0,00;73,87
13:00:47.346;6;Hold;-;0,00;73,87
13:00:47.359;6;Hold;-;0,00;73,87
13:00:47.383;6;Hold;-;0,00;73,87
13:00:47.398;6;Hold;-;0,00;73,87
13:00:47.410;6;Hold;-;0,00;73,87
13:00:47.427;6;Hold;-;0,00;73,87
13:00:47.441;6;Hold;-;0,00;73,87
13:00:47.455;6;Hold;-;0,00;73,87
13:00:47.468;6;Hold;-;0,00;73,87
13:00:47.483;6;Hold;-;0,00;73,87
13:00:47.497;6;Hold;-;0,00;73,87
13:00:47.511;6;Hold;-;0,00;73,87
13:00:47.527;6;Hold;-;0,00;73,87
13:00:47.541;6;Hold;-;0,00;73,87
13:00:47.555;6;Hold;-;0,00;73,87
13:00:47.567;6;Hold;-;0,00;73,87
13:00:47.592;6;Hold;-;0,00;73,87
13:00:47.605;6;Hold;-;0,00;73,87
13:00:47.620;6;Hold;-;0,00;73,87
13:00:47.635;6;Hold;-;0,00;73,87
13:00:47.647;6;Hold;-;0,00;73,87
13:00:47.663;6;Hold;-;0,00;73,87
13:00:47.677;6;Hold;-;0,00;73,87
13:00:47.689;6;Hold;-;0,00;73,87
13:00:47.705;6;Hold;-;0,00;73,87
13:00:47.719;6;Hold;-;0,00;73,87
13:00:47.732;6;Hold;-;0,00;73,87
13:00:47.748;6;Hold;-;0,00;73,87
13:00:47.762;6;Hold;-;0,00;73,87
13:00:47.777;6;Hold;-;0,00;73,87
13:00:47.788;6;Hold;-;0,00;73,87
13:00:47.804;6;Hold;-;0,00;73,87
13:00:47.819;6;Hold;-;0,00;73,87
13:00:47.841;6;Hold;-;0,00;73,87
13:00:47.856;6;Hold;-;0,00;73,87
13:00:47.869;6;Hold;-;0,00;73,87
13:00:47.884;6;Hold;-;0,00;73,87
13:00:47.899;6;Hold;-;0,00;73,87
13:00:47.911;6;Hold;-;0,00;73,87
13:00:47.927;6;Hold;-;0,00;73,87
13:00:47.941;6;Hold;-;0,00;73,87
13:00:47.956;6;Hold;-;0,00;73,87
13:00:47.968;6;Hold;-;0,00;73,87
13:00:47.984;6;Hold;-;0,00;73,87
13:00:47.998;6;Hold;-;0,00;73,87
13:00:48.010;6;Hold;-;0,00;73,87
13:00:48.026;6;Hold;-;0,00;73,87
13:00:48.041;6;Hold;-;0,00;73,87
13:00:48.055;6;Hold;-;0,00;73,87
13:00:48.067;6;Hold;-;0,00;73,87
13:00:48.082;6;Hold;-;0,00;73,87
13:00:48.106;6;Hold;-;0,00;73,87
13:00:48.120;6;Hold;-;0,00;73,87
