Zeit;Schritt;Modus;Event;Geschwindigkeit;Lautstärke
15:00:52.087;-;-;swing_detected;-;-
15:00:54.436;-;-;swing_detected;-;-
15:01:02.518;-;-;swing_detected;-;-
15:01:03.144;-;-;swing_detected;-;-
15:01:03.729;-;-;swing_detected;-;-
15:01:04.337;-;-;swing_detected;-;-
15:01:04.935;-;-;swing_detected;-;-
15:01:05.449;-;-;swing_detected;-;-
15:01:05.949;-;-;swing_detected;-;-
15:01:08.978;-;-;swing_detected;-;-
15:01:10.397;-;-;swing_detected;-;-
15:01:10.823;-;-;swing_detected;-;-
15:01:11.757;-;-;swing_detected;-;-
15:01:14.685;-;-;swing_detected;-;-
15:01:15.227;-;-;swing_detected;-;-
15:01:15.781;-;-;swing_detected;-;-
15:01:17.395;-;-;swing_detected;-;-
15:01:18.214;-;-;swing_detected;-;-
15:01:18.507;-;-;swing_detected;-;-
15:01:21.738;-;-;swing_detected;-;-
15:01:22.101;-;-;swing_detected;-;-
15:01:22.479;-;-;swing_detected;-;-
15:01:22.893;-;-;swing_detected;-;-
15:01:23.268;-;-;swing_detected;-;-
15:01:23.654;-;-;swing_detected;-;-
15:01:25.421;-;-;swing_detected;-;-
15:01:26.184;-;-;swing_detected;-;-
15:01:27.075;-;-;swing_detected;-;-
15:01:27.712;-;-;swing_detected;-;-
15:01:28.280;-;-;swing_detected;-;-
15:01:28.740;-;-;swing_detected;-;-
15:01:29.227;-;-;swing_detected;-;-
15:01:29.672;-;-;swing_detected;-;-
15:01:30.239;-;-;swing_detected;-;-
15:01:31.240;-;-;swing_detected;-;-
15:01:32.270;-;-;swing_detected;-;-
15:01:33.240;-;-;swing_detected;-;-
15:01:33.934;-;-;swing_detected;-;-
15:01:34.409;-;-;swing_detected;-;-
15:01:38.325;-;-;swing_detected;-;-
15:01:38.795;-;-;swing_detected;-;-
15:01:39.280;-;-;swing_detected;-;-
15:01:39.753;-;-;swing_detected;-;-
15:01:42.043;6;Swing;-;11,05;39,31
15:01:42.045;-;-;swing_detected;-;-
15:01:42.058;6;Swing;-;64,78;91,43
15:01:42.072;6;Swing;-;64,25;91,43
15:01:42.087;6;Swing;-;63,64;91,43
15:01:42.112;6;Swing;-;63,32;91,43
15:01:42.128;6;Swing;-;63,00;91,43
15:01:42.141;6;Swing;-;62,46;91,43
15:01:42.169;6;Swing;-;62,13;91,43
15:01:42.181;6;Swing;-;61,79;91,43
15:01:42.200;6;Swing;-;61,27;91,43
15:01:42.222;6;Swing;-;60,93;91,43
15:01:42.239;6;Swing;-;60,57;91,43
15:01:42.253;6;Swing;-;60,08;91,43
15:01:42.278;6;Swing;-;59,73;91,43
15:01:42.293;6;Swing;-;59,40;91,43
15:01:42.309;6;Swing;-;58,88;91,43
15:01:42.333;6;Swing;-;58,55;91,43
15:01:42.349;6;Swing;-;58,21;91,43
15:01:42.365;6;Swing;-;57,68;91,43
15:01:42.389;6;Swing;-;57,34;91,43
15:01:42.404;6;Swing;-;57,00;91,43
15:01:42.418;6;Swing;-;56,48;91,43
15:01:42.446;6;Swing;-;56,15;91,43
15:01:42.458;6;Swing;-;55,81;91,43
15:01:42.477;6;Swing;-;55,28;91,43
15:01:42.499;6;Swing;-;54,94;91,43
15:01:42.515;6;Swing;-;54,61;91,43
15:01:42.530;6;Swing;-;54,10;91,43
15:01:42.555;6;Swing;-;53,76;91,43
15:01:42.570;6;Swing;-;53,42;91,43
15:01:42.585;6;Swing;-;52,89;91,43
15:01:42.611;6;Swing;-;52,57;91,43
15:01:42.626;6;Swing;-;52,23;91,43
15:01:42.640;6;Swing;-;51,70;91,43
15:01:42.657;6;Swing;-;51,36;91,43
15:01:42.680;6;Swing;-;51,02;91,43
15:01:42.694;6;Swing;-;50,70;91,43
15:01:42.714;6;Swing;-;50,19;91,43
15:01:42.726;6;Swing;-;49,88;91,43
15:01:42.750;6;Swing;-;49,53;91,43
15:01:42.764;6;Swing;-;49,20;91,43
15:01:42.778;6;Swing;-;48,70;91,43
15:01:42.795;6;Swing;-;48,37;91,43
15:01:42.810;6;Swing;-;48,04;91,43
15:01:42.834;6;Swing;-;47,71;91,43
15:01:42.848;6;Swing;-;47,39;91,43
15:01:42.860;6;Swing;-;46,89;91,43
15:01:42.878;6;Swing;-;46,57;91,43
15:01:42.893;6;Swing;-;46,25;91,43
15:01:42.907;6;Swing;-;45,92;91,43
15:01:42.930;6;Swing;-;45,60;91,43
15:01:42.945;6;Swing;-;45,29;91,43
15:01:42.958;6;Swing;-;44,80;91,43
15:01:42.974;6;Swing;-;44,48;91,43
15:01:42.989;6;Swing;-;44,15;91,43
15:01:43.002;6;Swing;-;43,85;91,43
15:01:43.017;6;Swing;-;43,53;91,43
15:01:43.033;6;Swing;-;43,20;91,43
