Zeit;Schritt;Modus;Event;Geschwindigkeit;Lautstärke
00:23:15.531;-;-;button_down;-;-
00:23:16.711;-;Hold;button_up;-;-
00:23:16.725;-;-;button_down;-;-
00:23:17.641;-;Hold;button_up;-;-
00:23:17.711;-;-;button_down;-;-
00:23:24.934;-;Hold;button_up;-;-
00:23:28.184;-;-;button_down;-;-
00:23:35.780;-;Hold;button_up;-;-
00:23:36.739;-;-;button_down;-;-
00:23:49.711;-;Hold;button_up;-;-
00:23:51.267;-;-;button_down;-;-
00:24:04.628;-;Hold;button_up;-;-
00:24:06.504;6;Hold;-;62,59;58,15
00:24:06.518;6;Hold;-;61,84;58,15
00:24:06.531;6;Hold;-;61,05;58,15
00:24:06.544;6;Hold;-;59,51;58,15
00:24:06.557;6;Hold;-;58,81;58,15
00:24:06.572;6;Hold;-;58,06;58,15
00:24:06.586;6;Hold;-;57,32;58,15
00:24:06.599;6;Hold;-;56,58;58,15
00:24:06.614;6;Hold;-;55,80;58,15
00:24:06.628;6;Hold;-;55,07;58,15
00:24:06.640;6;Hold;-;54,30;58,15
00:24:06.656;6;Hold;-;53,55;58,15
00:24:06.669;6;Hold;-;52,80;58,15
00:24:06.683;6;Hold;-;52,04;58,15
00:24:06.696;6;Hold;-;51,29;58,15
00:24:06.711;6;Hold;-;50,53;58,15
00:24:06.725;6;Hold;-;49,78;58,15
00:24:06.738;6;Hold;-;49,01;58,15
00:24:06.752;6;Hold;-;48,24;58,15
00:24:06.766;6;Hold;-;47,51;58,15
00:24:06.780;6;Hold;-;46,76;58,15
00:24:06.795;6;Hold;-;46,01;58,15
00:24:06.808;6;Hold;-;45,24;58,15
00:24:06.821;6;Hold;-;44,48;58,15
00:24:06.836;6;Hold;-;43,75;58,15
00:24:06.850;6;Hold;-;42,98;58,15
00:24:06.864;6;Hold;-;42,24;58,15
00:24:06.877;6;Hold;-;41,46;58,15
00:24:06.891;6;Hold;-;40,72;58,15
00:24:06.905;6;Hold;-;39,96;58,15
00:24:06.919;6;Hold;-;39,22;58,15
00:24:06.933;6;Hold;-;38,48;58,15
00:24:06.947;6;Hold;-;37,70;58,15
00:24:06.960;6;Hold;-;36,96;58,15
00:24:06.975;6;Hold;-;36,20;58,15
00:24:06.989;6;Hold;-;35,46;58,15
00:24:07.003;6;Hold;-;34,70;58,15
00:24:07.016;6;Hold;-;33,94;58,15
00:24:07.031;6;Hold;-;33,19;58,15
00:24:07.045;6;Hold;-;32,41;58,15
00:24:07.057;6;Hold;-;31,67;58,15
00:24:07.072;6;Hold;-;30,89;58,15
