Zeit;Schritt;Modus;Event;Geschwindigkeit;Lautstärke
12:07:08.058;-;-;swing_detected;-;-
12:07:13.323;-;-;swing_detected;-;-
12:07:20.669;-;-;swing_detected;-;-
12:07:21.195;-;-;swing_detected;-;-
12:07:21.752;-;-;swing_detected;-;-
12:07:24.390;-;-;swing_detected;-;-
12:07:24.932;-;-;swing_detected;-;-
12:07:25.462;-;-;swing_detected;-;-
12:07:26.059;-;-;swing_detected;-;-
12:07:26.642;-;-;swing_detected;-;-
12:07:27.169;-;-;swing_detected;-;-
12:07:27.739;-;-;swing_detected;-;-
12:07:28.293;-;-;swing_detected;-;-
12:07:28.783;-;-;swing_detected;-;-
12:07:29.378;-;-;swing_detected;-;-
12:07:29.975;-;-;swing_detected;-;-
12:07:30.654;-;-;swing_detected;-;-
12:07:31.267;-;-;swing_detected;-;-
12:07:31.877;-;-;swing_detected;-;-
12:07:32.545;-;-;swing_detected;-;-
12:07:33.142;-;-;swing_detected;-;-
12:07:33.669;-;-;swing_detected;-;-
12:07:34.294;-;-;swing_detected;-;-
12:07:34.865;-;-;swing_detected;-;-
12:07:35.503;-;-;swing_detected;-;-
12:07:36.211;-;-;swing_detected;-;-
12:07:36.864;-;-;swing_detected;-;-
12:07:37.545;-;-;swing_detected;-;-
12:07:38.210;-;-;swing_detected;-;-
12:07:38.878;-;-;swing_detected;-;-
12:07:39.655;-;-;swing_detected;-;-
12:07:40.530;-;-;swing_detected;-;-
12:07:41.504;-;-;swing_detected;-;-
12:07:42.420;-;-;swing_detected;-;-
12:07:43.294;-;-;swing_detected;-;-
12:07:44.086;-;-;swing_detected;-;-
12:07:44.725;-;-;swing_detected;-;-
12:07:45.351;-;-;swing_detected;-;-
12:07:45.989;-;-;swing_detected;-;-
12:07:46.642;-;-;swing_detected;-;-
12:07:47.225;-;-;swing_detected;-;-
12:07:47.782;-;-;swing_detected;-;-
12:07:48.322;-;-;swing_detected;-;-
12:07:48.879;-;-;swing_detected;-;-
12:07:49.432;-;-;swing_detected;-;-
12:07:49.962;-;-;swing_detected;-;-
12:07:50.545;-;-;swing_detected;-;-
12:07:51.087;-;-;swing_detected;-;-
12:07:51.655;-;-;swing_detected;-;-
12:07:52.198;-;-;swing_detected;-;-
12:07:52.782;-;-;swing_detected;-;-
12:07:53.351;-;-;swing_detected;-;-
12:07:57.126;6;Swing;-;0,00;66,34
12:07:57.143;6;Swing;-;0,00;66,34
12:07:57.153;6;Swing;-;0,00;66,34
12:07:57.168;6;Swing;-;0,00;66,34
12:07:57.182;6;Swing;-;0,00;66,34
12:07:57.194;6;Swing;-;0,00;66,34
12:07:57.210;6;Swing;-;0,00;66,34
12:07:57.224;6;Swing;-;0,00;66,34
12:07:57.238;6;Swing;-;0,00;66,34
12:07:57.250;6;Swing;-;0,00;66,34
12:07:57.266;6;Swing;-;0,00;66,34
12:07:57.280;6;Swing;-;0,00;66,34
12:07:57.293;6;Swing;-;0,00;66,34
12:07:57.308;6;Swing;-;0,00;66,34
12:07:57.321;6;Swing;-;0,00;66,34
12:07:57.334;6;Swing;-;0,00;66,34
12:07:57.349;6;Swing;-;0,00;66,34
12:07:57.363;6;Swing;-;0,00;66,34
12:07:57.377;6;Swing;-;0,00;66,34
12:07:57.390;6;Swing;-;0,00;66,34
12:07:57.405;6;Swing;-;0,00;66,34
12:07:57.419;6;Swing;-;0,00;66,34
12:07:57.431;6;Swing;-;0,00;66,34
12:07:57.447;6;Swing;-;0,00;66,34
12:07:57.461;6;Swing;-;0,00;66,34
12:07:57.473;6;Swing;-;0,00;66,34
12:07:57.488;6;Swing;-;0,00;66,34
12:07:57.503;6;Swing;-;0,00;66,34
12:07:57.514;6;Swing;-;0,00;66,34
12:07:57.530;6;Swing;-;0,00;66,34
12:07:57.544;6;Swing;-;0,00;66,34
12:07:57.558;6;Swing;-;0,00;66,34
12:07:57.570;6;Swing;-;0,00;66,34
12:07:57.587;6;Swing;-;0,00;66,34
12:07:57.599;6;Swing;-;0,00;66,34
12:07:57.612;6;Swing;-;0,00;66,34
12:07:57.627;6;Swing;-;0,00;66,34
12:07:57.641;6;Swing;-;0,00;66,34
12:07:57.654;6;Swing;-;0,00;66,34
12:07:57.670;6;Swing;-;0,00;66,34
12:07:57.683;6;Swing;-;0,00;66,34
12:07:57.697;6;Swing;-;0,00;66,34
12:07:57.709;6;Swing;-;0,00;66,34
12:07:57.724;6;Swing;-;0,00;66,34
12:07:57.739;6;Swing;-;0,00;66,34
12:07:57.751;6;Swing;-;0,00;66,34
12:07:57.766;6;Swing;-;0,00;66,34
12:07:57.781;6;Swing;-;0,00;66,34
12:07:57.793;6;Swing;-;0,00;66,34
12:07:57.808;6;Swing;-;0,00;66,34
12:07:57.822;6;Swing;-;0,00;66,34
12:07:57.824;-;-;swing_detected;-;-
12:07:57.835;6;Swing;-;38,92;32,04
12:07:57.850;6;Swing;-;38,73;32,04
12:07:57.864;6;Swing;-;38,56;32,04
12:07:57.877;6;Swing;-;38,38;32,04
12:07:57.890;6;Swing;-;38,19;32,04
12:07:57.905;6;Swing;-;38,02;32,04
12:07:57.919;6;Swing;-;37,84;32,04
12:07:57.932;6;Swing;-;37,65;32,04
12:07:57.947;6;Swing;-;37,48;32,04
12:07:57.960;6;Swing;-;37,29;32,04
12:07:57.973;6;Swing;-;37,12;32,04
12:07:57.989;6;Swing;-;36,94;32,04
12:07:58.003;6;Swing;-;36,76;32,04
12:07:58.016;6;Swing;-;36,57;32,04
12:07:58.029;6;Swing;-;36,40;32,04
12:07:58.044;6;Swing;-;36,21;32,04
12:07:58.058;6;Swing;-;36,04;32,04
12:07:58.071;6;Swing;-;35,86;32,04
12:07:58.086;6;Swing;-;35,67;32,04
12:07:58.100;6;Swing;-;35,49;32,04
12:07:58.112;6;Swing;-;35,32;32,04
12:07:58.128;6;Swing;-;35,13;32,04
12:07:58.142;6;Swing;-;34,95;32,04
12:07:58.154;6;Swing;-;34,77;32,04
12:07:58.170;6;Swing;-;34,59;32,04
12:07:58.184;6;Swing;-;34,41;32,04
12:07:58.197;6;Swing;-;34,23;32,04
12:07:58.210;6;Swing;-;34,04;32,04
12:07:58.226;6;Swing;-;33,87;32,04
12:07:58.239;6;Swing;-;33,69;32,04
12:07:58.252;6;Swing;-;33,50;32,04
12:07:58.267;6;Swing;-;33,33;32,04
12:07:58.281;6;Swing;-;33,15;32,04
12:07:58.294;6;Swing;-;32,97;32,04
12:07:58.309;6;Swing;-;32,79;32,04
12:07:58.323;6;Swing;-;32,60;32,04
12:07:58.335;6;Swing;-;32,42;32,04
12:07:58.350;6;Swing;-;32,25;32,04
12:07:58.364;6;Swing;-;32,07;32,04
12:07:58.378;6;Swing;-;31,88;32,04
12:07:58.391;6;Swing;-;31,71;32,04
12:07:58.406;6;Swing;-;31,52;32,04
12:07:58.420;6;Swing;-;31,34;32,04
12:07:58.432;6;Swing;-;31,17;32,04
12:07:58.447;6;Swing;-;30,98;32,04
12:07:58.462;6;Swing;-;30,80;32,04
12:07:58.474;6;Swing;-;30,63;32,04
12:07:58.489;6;Swing;-;30,44;32,04
12:07:58.503;6;Swing;-;30,26;32,04
12:07:58.517;6;Swing;-;30,08;32,04
12:07:58.530;6;Swing;-;29,90;32,04
12:07:58.545;6;Swing;-;29,72;32,04
12:07:58.558;6;Swing;-;29,54;32,04
